Model,Train_Accuracy,Train_Precision,Train_Recall,Train_F1,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC_AUC
DecisionTree,0.9999210609409536,0.9995678478824547,1.0,0.9997838772422736,0.8882575757575758,0.6878130217028381,0.7115716753022453,0.6994906621392191,0.8196715077940351
RandomForest,0.9999210609409536,0.9995678478824547,1.0,0.9997838772422736,0.89614898989899,0.6899696048632219,0.7841105354058722,0.7340339531123686,0.9408791412585864
AdaBoost,0.883170192611304,0.7030716723549488,0.6234327712926935,0.6608615948670944,0.8914141414141414,0.7299412915851272,0.6442141623488774,0.6844036697247706,0.9479533778821119
GaussianNB,0.18882222923902747,0.1836815762294431,0.9995676610462603,0.31033557046979865,0.1884469696969697,0.18340750158931976,0.9965457685664939,0.3097986577181208,0.5012037776403557
MLP,0.8178875907799179,0.6071428571428571,0.007349762213575443,0.014523707817172148,0.8178661616161617,0.625,0.008635578583765112,0.017035775127768313,0.5037384150161004
SVM,0.8174139564256394,0.0,0.0,0.0,0.8172348484848485,0.0,0.0,0.0,0.3879816361369444
XGBoost,0.9712661825071045,0.8653918260217472,0.9978383052313013,0.9269076305220884,0.9198232323232324,0.7298444130127298,0.8911917098445595,0.80248833592535,0.9454013959684623
